Price,Use,Transmission,Body,Fuel,Year,Mileage (km),Drivetrain,Horse Power,Engine Size (l),Make,Model,Source,Horsepower
235000.0,Foreign Used,Automatic,Sedan,Petrol,2016,66820.0,All-Wheel Drive,241.0,2.0,Mercedes-Benz,C300,Tonaton,241.0
140000.0,Foreign Used,Automatic,,Petrol,2015,,,,2.4,Kia,Sportage,Tonaton,182.0
210000.0,Foreign Used,Automatic,SUV,Petrol,2019,57524.0,Four-Wheel Drive,166.0,2.4,Mitsubishi,Outlander,Tonaton,166.0
245000.0,Foreign Used,Automatic,SUV,Petrol,2017,43288.0,All-Wheel Drive,240.0,2.0,BMW,X3,Tonaton,240.0
140000.0,Foreign Used,Automatic,Sedan,Petrol,2016,75652.0,Front-Wheel Drive,174.0,1.5,Honda,Civic,Tonaton,174.0
120000.0,Ghanaian Used,Automatic,,Petrol,2012,,,,2.4,Hyundai,Santa Fe,Tonaton,192.5
187000.0,Foreign Used,Automatic,SUV,Petrol,2018,79000.0,Four-Wheel Drive,166.0,2.4,Mitsubishi,Outlander,Tonaton,166.0
310000.0,Foreign Used,Automatic,SUV,Petrol,2017,,All-Wheel Drive,293.0,3.6,Dodge,Durango,Tonaton,293.0
330000.0,Foreign Used,Automatic,Pickup,Petrol,2018,,Rear-Wheel Drive,325.0,2.7,Ford,F-150,Tonaton,325.0
400000.0,Foreign Used,Automatic,SUV,Petrol,2020,26484.0,All-Wheel Drive,272.0,2.0,Acura,RDX,Tonaton,272.0
175000.0,Foreign Used,Automatic,SUV,Petrol,2016,,Front-Wheel Drive,117.0,1.5,Honda,HR-V,Tonaton,117.0
900000.0,Ghanaian Used,Automatic,SUV,Diesel,2019,52000.0,Four-Wheel Drive,249.0,4.5,Toyota,Land Cruiser,Tonaton,249.0
355000.0,Foreign Used,Automatic,SUV,Petrol,2018,62000.0,All-Wheel Drive,280.0,3.5,Honda,Pilot,Tonaton,280.0
550000.0,Foreign Used,Automatic,,Petrol,2021,,,,2.0,Acura,RDX,Tonaton,272.0
460000.0,Foreign Used,Automatic,SUV,Petrol,2020,68000.0,Four-Wheel Drive,285.0,3.6,Jeep,Wrangler,Tonaton,285.0
350000.0,Foreign Used,Automatic,,Petrol,2022,4174.0,,,1.5,Honda,CR-V,Tonaton,190.0
250000.0,Ghanaian Used,Automatic,SUV,Diesel,2010,,All-Wheel Drive,173.0,3.0,Toyota,Land Cruiser Prado,Tonaton,173.0
459500.0,Foreign Used,Automatic,SUV,Petrol,2019,8438.0,All-Wheel Drive,290.0,3.5,Acura,MDX,Tonaton,290.0
230000.0,Foreign Used,Automatic,Sedan,Petrol,2018,,All-Wheel Drive,260.0,3.5,Nissan,Murano,Tonaton,260.0
160000.0,Foreign Used,Automatic,Sedan,Petrol,2018,,All-Wheel Drive,170.0,2.5,Nissan,Rogue,Tonaton,170.0
700000.0,Foreign Used,Automatic,Pickup,Petrol,2019,38524.0,Four-Wheel Drive,395.0,5.0,Ford,F-150,Tonaton,395.0
438000.0,Foreign Used,Automatic,SUV,Petrol,2013,43504.0,All-Wheel Drive,285.0,3.6,Jeep,Wrangler,Tonaton,285.0
